id,datetime,location_id,duration,distance_meters,category
01c09e72-6991-4450-b850-d1aebc24f3f9,2020-02-01 01:41:00,8,10.397861993289762,2.4260816157921563,Truck
9487e579-f569-406f-95e6-f315c7de62a5,2020-02-01 03:04:00,4,9.346310063892954,3.589895778792766,Truck
05ccfe56-5db4-4370-bc43-77fb63a468d4,2020-02-01 03:04:00,15,19.247336217385293,1.2516200958704928,Motorbike
832b62c7-1292-44a7-8ab4-907628452be9,2020-02-01 04:11:00,4,15.939307740623136,4.340688656355413,Motorbike
6a95ef4f-caaf-4957-91d3-b100bf51d4a9,2020-02-01 06:16:00,3,23.275984603475756,1.6761312385531926,Truck
16233b44-578b-45ef-a6f6-134b5aed5e91,2020-02-01 06:40:00,11,11.561954235201071,4.007115023337434,Motorbike
77f4984b-d18a-4770-b125-8473bb86d9c1,2020-02-01 07:04:00,6,15.155807712791095,2.1699764674074595,Truck
d5c840af-33ee-4971-84cd-0b1a7d40bed0,2020-02-01 07:14:00,17,26.091637435064484,4.035356875045098,Motorbike
5e5f5c2e-39d1-47bd-8db6-cd5e072c13b6,2020-02-01 08:26:00,18,11.359214641861932,4.349314945339415,Motorbike
b79df471-5304-4f20-bc9c-9736b46b9318,2020-02-01 08:52:00,3,26.88435945544039,15.35920809713786,Dog
bd71984c-c296-4d54-ac56-261e5b1b4a87,2020-02-01 09:11:00,30,9.238469128116014,6.425388245148033,Truck
9b897da5-ea48-4e39-b78f-ab44f9ba3f8a,2020-02-01 10:13:00,26,18.50386811019753,1.609020158581485,Truck
9ab9a4b9-150a-4828-8158-641243bb611f,2020-02-01 11:02:00,25,11.840223319335067,5.5761406194992755,Truck
23a3b0d8-05e9-48aa-9c87-be577eb8d144,2020-02-01 11:10:00,6,4.217897856218313,1.7295406213757047,Motorbike
14b8a635-267e-42b2-b70a-4b969abe5a0a,2020-02-01 11:51:00,24,12.03870398267798,3.3307993969718845,Motorbike
6f505880-4258-4cfc-980d-bce417186489,2020-02-01 15:39:00,24,13.011259263730029,1.9509831734565428,Truck
56a4ef72-127d-4231-a637-7764fe8b83a3,2020-02-01 15:57:00,26,6.79282506572121,14.46130988302941,Motorbike
4613ad18-5877-4c61-9e90-20841783b1b9,2020-02-01 17:45:00,18,9.59025001646296,7.744358071606435,Motorbike
